,Year,Month,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange,State
42,2017,1,3,1480113,66605,613251,0.1086,,,North Dakota
43,2017,1,3,6073741,273318,3468412,0.0788,,,Oregon
44,2017,1,3,8237299,370678,5545920,0.0668,,,Tennessee
45,2017,1,3,52609593,2367432,22572383,0.1049,,,Texas
46,2017,1,3,10272274,462252,7015247,0.0659,,,Virginia
47,2017,2,1,120929,49702,593378,0.0838,,,Alaska
48,2017,2,1,257696,105913,2455022,0.0431,,,Arkansas
49,2017,2,1,929497,382023,4634346,0.0824,,,Colorado
50,2017,2,1,577939,237533,3015481,0.0788,,,Connecticut
51,2017,2,1,3423792,1407178,17722275,0.0794,,,Florida
52,2017,2,1,1419199,583291,10556100,0.0553,,,Illinois
53,2017,2,1,322364,132492,2356231,0.0562,,,Kansas
54,2017,2,1,262904,108053,3670568,0.0294,,,Kentucky
55,2017,2,1,700315,287829,3807282,0.0756,,,Louisiana
56,2017,2,1,812741,334037,5815595,0.0574,,,Massachusetts
57,2017,2,1,956038,392932,5037634,0.078,,,Missouri
58,2017,2,1,137002,56308,613251,0.0918,,,North Dakota
59,2017,2,1,663475,272688,5545920,0.0492,,,Tennessee
60,2017,2,1,2965700,1218903,22572383,0.054000000000000006,,,Texas
61,2017,2,1,830462,341320,7015247,0.0487,,,Virginia
62,2017,2,1,889002,365380,4805415,0.076,,,Wisconsin
63,2017,2,2,163072,21036,593378,0.0355,,,Alaska
64,2017,2,2,310160,40011,2455022,0.0163,,,Arkansas
65,2017,2,2,1482717,191270,4634346,0.0413,,,Colorado
66,2017,2,2,1023038,131972,3015481,0.0438,,,Connecticut
67,2017,2,2,6685572,862439,17722275,0.0487,,,Florida
68,2017,2,2,2586424,333649,10556100,0.0316,,,Illinois
69,2017,2,2,244620,31556,3670568,0.0086,,,Kentucky
70,2017,2,2,717754,92590,3807282,0.0243,,,Louisiana
71,2017,2,2,1962634,253180,5815595,0.0435,,,Massachusetts
72,2017,2,2,1312305,169287,5037634,0.0336,,,Missouri
73,2017,2,2,106924,13793,613251,0.0225,,,North Dakota
74,2017,2,2,1085695,140055,3468412,0.0404,,,Oregon
75,2017,2,2,957664,123539,5545920,0.0223,,,Tennessee
76,2017,2,2,5353402,690589,22572383,0.0306,,,Texas
77,2017,2,2,1903575,245561,7015247,0.035,,,Virginia
78,2017,2,2,1006746,129870,4805415,0.027000000000000003,,,Wisconsin
79,2017,2,3,845710,38057,593378,0.0641,,,Alaska
80,2017,2,3,3528088,158764,2455022,0.0647,,,Arkansas
81,2017,2,3,7969597,358632,4634346,0.0774,,,Colorado
82,2017,2,3,3559873,160194,3015481,0.0531,,,Connecticut
83,2017,2,3,31736910,1428161,17722275,0.0806,,,Florida
84,2017,2,3,16802205,756099,10556100,0.0716,,,Illinois
85,2017,2,3,3870683,174181,2356231,0.0739,,,Kansas
86,2017,2,3,4533440,204005,3670568,0.0556,,,Kentucky
87,2017,2,3,7809330,351420,5815595,0.0604,,,Massachusetts
88,2017,2,3,9010164,405457,5037634,0.0805,,,Missouri
89,2017,2,3,1495247,67286,613251,0.1097,,,North Dakota
90,2017,2,3,6561339,295260,3468412,0.0851,,,Oregon
91,2017,2,3,9720247,437411,5545920,0.0789,,,Tennessee
92,2017,2,3,40292159,1813147,22572383,0.0803,,,Texas
93,2017,2,3,10261713,461777,7015247,0.0658,,,Virginia
94,2017,3,1,141033,57964,593378,0.0977,,,Alaska
95,2017,3,1,289006,118781,2455022,0.0484,,,Arkansas
96,2017,3,1,1154429,474470,4634346,0.1024,,,Colorado
97,2017,3,1,581433,238969,3015481,0.0792,,,Connecticut
98,2017,3,1,4217222,1733278,17722275,0.0978,,,Florida
99,2017,3,1,1767023,726247,10556100,0.0688,,,Illinois
100,2017,3,1,345188,141872,2356231,0.0602,,,Kansas
101,2017,3,1,681101,279932,3670568,0.0763,,,Kentucky
102,2017,3,1,814115,334601,3807282,0.0879,,,Louisiana
103,2017,3,1,1212509,498341,5815595,0.0857,,,Massachusetts
104,2017,3,1,1064454,437490,5037634,0.0868,,,Missouri
105,2017,3,1,162070,66611,613251,0.1086,,,North Dakota
106,2017,3,1,761605,313020,5545920,0.0564,,,Tennessee
107,2017,3,1,2596052,1066977,22572383,0.0473,,,Texas
108,2017,3,1,943961,387968,7015247,0.0553,,,Virginia
109,2017,3,1,919418,377881,4805415,0.0786,,,Wisconsin
110,2017,3,2,207743,26799,593378,0.0452,,,Alaska
111,2017,3,2,303000,39087,2455022,0.0159,,,Arkansas
112,2017,3,2,1516369,195612,4634346,0.0422,,,Colorado
113,2017,3,2,1297962,167437,3015481,0.0555,,,Connecticut
114,2017,3,2,7571086,976670,17722275,0.0551,,,Florida
115,2017,3,2,3007626,387984,10556100,0.0368,,,Illinois
116,2017,3,2,320378,41329,3670568,0.0113,,,Kentucky
117,2017,3,2,849630,109602,3807282,0.0288,,,Louisiana
118,2017,3,2,2722797,351241,5815595,0.0604,,,Massachusetts
119,2017,3,2,1340458,172919,5037634,0.0343,,,Missouri
120,2017,3,2,126127,16270,613251,0.0265,,,North Dakota
121,2017,3,2,1285169,165787,3468412,0.0478,,,Oregon
122,2017,3,2,968791,124974,5545920,0.0225,,,Tennessee
123,2017,3,2,4658826,600989,22572383,0.0266,,,Texas
124,2017,3,2,2205239,284476,7015247,0.0406,,,Virginia
125,2017,3,2,1022458,131897,4805415,0.0274,,,Wisconsin
126,2017,3,3,1104293,49693,593378,0.0837,,,Alaska
127,2017,3,3,3770863,169689,2455022,0.0691,,,Arkansas
128,2017,3,3,9848197,443169,4634346,0.0956,,,Colorado
129,2017,3,3,4292946,193183,3015481,0.0641,,,Connecticut
130,2017,3,3,40430413,1819369,17722275,0.1027,,,Florida
131,2017,3,3,21032499,946462,10556100,0.0897,,,Illinois
132,2017,3,3,3892439,175160,2356231,0.0743,,,Kansas
133,2017,3,3,6286329,282885,3670568,0.0771,,,Kentucky
134,2017,3,3,10467658,471045,5815595,0.081,,,Massachusetts
135,2017,3,3,11123045,500537,5037634,0.0994,,,Missouri
136,2017,3,3,1598135,71916,613251,0.1173,,,North Dakota
137,2017,3,3,7001122,315050,3468412,0.0908,,,Oregon
138,2017,3,3,8487395,381933,5545920,0.0689,,,Tennessee
139,2017,3,3,42841618,1927873,22572383,0.0854,,,Texas
140,2017,3,3,12279624,552583,7015247,0.0788,,,Virginia
141,2017,4,1,131717,54136,593378,0.0912,,,Alaska
142,2017,4,1,326769,134302,2455022,0.0547,,,Arkansas
143,2017,4,1,945519,388608,4634346,0.0839,,,Colorado
144,2017,4,1,530414,218000,3015481,0.0723,,,Connecticut
145,2017,4,1,3220124,1323471,17722275,0.0747,,,Florida
146,2017,4,1,1486325,610879,10556100,0.0579,,,Illinois
147,2017,4,1,394536,162154,2356231,0.0688,,,Kansas
148,2017,4,1,631720,259637,3670568,0.0707,,,Kentucky
149,2017,4,1,729840,299964,3807282,0.0788,,,Louisiana
150,2017,4,1,1008246,414389,5815595,0.0713,,,Massachusetts
151,2017,4,1,980158,402845,5037634,0.08,,,Missouri
152,2017,4,1,134596,55319,613251,0.0902,,,North Dakota
153,2017,4,1,934786,384197,5545920,0.0693,,,Tennessee
154,2017,4,1,3109741,1278104,22572383,0.0566,,,Texas
155,2017,4,1,899499,369694,7015247,0.0527,,,Virginia
156,2017,4,1,1398414,574748,4805415,0.1196,,,Wisconsin
157,2017,4,2,166416,21468,593378,0.0362,,,Alaska
158,2017,4,2,369228,47630,2455022,0.0194,,,Arkansas
159,2017,4,2,1376073,177513,4634346,0.0383,,,Colorado
160,2017,4,2,1070698,138120,3015481,0.0458,,,Connecticut
161,2017,4,2,6342581,818193,17722275,0.0462,,,Florida
162,2017,4,2,2698416,348096,10556100,0.033,,,Illinois
163,2017,4,2,523184,67491,3670568,0.0184,,,Kentucky
164,2017,4,2,763255,98460,3807282,0.0259,,,Louisiana
165,2017,4,2,2326263,300088,5815595,0.0516,,,Massachusetts
166,2017,4,2,1068064,137780,5037634,0.0274,,,Missouri
167,2017,4,2,160336,20683,613251,0.0337,,,North Dakota
168,2017,4,2,1458788,188184,3468412,0.0543,,,Oregon
169,2017,4,2,1049128,135337,5545920,0.0244,,,Tennessee
170,2017,4,2,4983229,642837,22572383,0.0285,,,Texas
171,2017,4,2,2049657,264406,7015247,0.0377,,,Virginia
172,2017,4,2,1309427,168916,4805415,0.0352,,,Wisconsin
173,2017,4,3,1069064,48108,593378,0.0811,,,Alaska
174,2017,4,3,4105442,184745,2455022,0.0753,,,Arkansas
175,2017,4,3,8949796,402741,4634346,0.0869,,,Colorado
176,2017,4,3,4328935,194802,3015481,0.0646,,,Connecticut
177,2017,4,3,35827699,1612246,17722275,0.091,,,Florida
178,2017,4,3,20328054,914762,10556100,0.0867,,,Illinois
179,2017,4,3,4814917,216671,2356231,0.092,,,Kansas
180,2017,4,3,6690048,301052,3670568,0.08199999999999999,,,Kentucky
181,2017,4,3,10183607,458262,5815595,0.0788,,,Massachusetts
182,2017,4,3,10903214,490645,5037634,0.0974,,,Missouri
183,2017,4,3,1934276,87042,613251,0.1419,,,North Dakota
184,2017,4,3,8949102,402710,3468412,0.1161,,,Oregon
185,2017,4,3,8889446,400025,5545920,0.0721,,,Tennessee
186,2017,4,3,55984422,2519299,22572383,0.1116,,,Texas
187,2017,4,3,11933973,537029,7015247,0.0766,,,Virginia
188,2017,5,1,158173,65009,593378,0.1096,,,Alaska
189,2017,5,1,291084,119635,2455022,0.0487,,,Arkansas
190,2017,5,1,1176509,483545,4634346,0.1043,,,Colorado
191,2017,5,1,648230,266423,3015481,0.0884,,,Connecticut
192,2017,5,1,3920402,1611285,17722275,0.0909,,,Florida
193,2017,5,1,2043145,839733,10556100,0.0795,,,Illinois
194,2017,5,1,345270,141906,2356231,0.0602,,,Kansas
195,2017,5,1,573843,235849,3670568,0.0643,,,Kentucky
196,2017,5,1,799698,328676,3807282,0.0863,,,Louisiana
197,2017,5,1,1268448,521332,5815595,0.0896,,,Massachusetts
198,2017,5,1,1087550,446983,5037634,0.0887,,,Missouri
199,2017,5,1,177927,73128,613251,0.1192,,,North Dakota
200,2017,5,1,852650,350439,5545920,0.0632,,,Tennessee
201,2017,5,1,3262063,1340708,22572383,0.0594,,,Texas
202,2017,5,1,974894,400681,7015247,0.0571,,,Virginia
203,2017,5,1,1067255,438642,4805415,0.0913,,,Wisconsin
204,2017,5,2,225526,29093,593378,0.049,,,Alaska
205,2017,5,2,322580,41613,2455022,0.017,,,Arkansas
206,2017,5,2,1528132,197129,4634346,0.0425,,,Colorado
207,2017,5,2,1187011,153124,3015481,0.0508,,,Connecticut
208,2017,5,2,6068368,782819,17722275,0.0442,,,Florida
209,2017,5,2,3201436,412985,10556100,0.0391,,,Illinois
210,2017,5,2,496274,64019,3670568,0.0174,,,Kentucky
211,2017,5,2,826811,106659,3807282,0.027999999999999997,,,Louisiana
212,2017,5,2,2534209,326913,5815595,0.0562,,,Massachusetts
213,2017,5,2,1191653,153723,5037634,0.0305,,,Missouri
214,2017,5,2,121996,15738,613251,0.0257,,,North Dakota
215,2017,5,2,1114087,143717,3468412,0.0414,,,Oregon
216,2017,5,2,1067474,137704,5545920,0.0248,,,Tennessee
217,2017,5,2,4567998,589272,22572383,0.0261,,,Texas
218,2017,5,2,2277394,293784,7015247,0.0419,,,Virginia
219,2017,5,2,1077970,139058,4805415,0.0289,,,Wisconsin
220,2017,5,3,1457979,65609,593378,0.1106,,,Alaska
221,2017,5,3,4387883,197455,2455022,0.0804,,,Arkansas
222,2017,5,3,10684955,480823,4634346,0.1038,,,Colorado
223,2017,5,3,5209941,234447,3015481,0.0777,,,Connecticut
224,2017,5,3,38488906,1732001,17722275,0.0977,,,Florida
225,2017,5,3,25126460,1130691,10556100,0.1071,,,Illinois
226,2017,5,3,4224806,190116,2356231,0.0807,,,Kansas
227,2017,5,3,5983942,269277,3670568,0.0734,,,Kentucky
228,2017,5,3,12158741,547143,5815595,0.0941,,,Massachusetts
229,2017,5,3,12137281,546178,5037634,0.1084,,,Missouri
230,2017,5,3,2116074,95223,613251,0.1553,,,North Dakota
231,2017,5,3,7206334,324285,3468412,0.0935,,,Oregon
232,2017,5,3,10537470,474186,5545920,0.0855,,,Tennessee
233,2017,5,3,49560853,2230238,22572383,0.0988,,,Texas
234,2017,5,3,14616567,657746,7015247,0.0938,,,Virginia
235,2017,6,1,181130,74444,593378,0.1255,,,Alaska
236,2017,6,1,327954,134789,2455022,0.0549,,,Arkansas
237,2017,6,1,1438590,591260,4634346,0.1276,,,Colorado
238,2017,6,1,768255,315753,3015481,0.1047,,,Connecticut
239,2017,6,1,4603094,1891872,17722275,0.1068,,,Florida
240,2017,6,1,2358265,969247,10556100,0.0918,,,Illinois
241,2017,6,1,377964,155343,2356231,0.0659,,,Kansas
242,2017,6,1,650132,267204,3670568,0.0728,,,Kentucky
243,2017,6,1,869685,357440,3807282,0.0939,,,Louisiana
244,2017,6,1,1883692,774198,5815595,0.1331,,,Massachusetts
245,2017,6,1,1193229,490417,5037634,0.0974,,,Missouri
246,2017,6,1,201090,82648,613251,0.1348,,,North Dakota
247,2017,6,1,916352,376621,5545920,0.0679,,,Tennessee
248,2017,6,1,3225024,1325485,22572383,0.0587,,,Texas
249,2017,6,1,966995,397435,7015247,0.0567,,,Virginia
250,2017,6,1,1416800,582305,4805415,0.1212,,,Wisconsin
251,2017,6,2,252221,32537,593378,0.0548,,,Alaska
252,2017,6,2,330236,42600,2455022,0.0174,,,Arkansas
253,2017,6,2,1708736,220427,4634346,0.0476,,,Colorado
254,2017,6,2,1298365,167489,3015481,0.0555,,,Connecticut
255,2017,6,2,6063007,782128,17722275,0.0441,,,Florida
256,2017,6,2,3487153,449843,10556100,0.0426,,,Illinois
257,2017,6,2,530906,68487,3670568,0.0187,,,Kentucky
258,2017,6,2,856872,110536,3807282,0.028999999999999998,,,Louisiana
259,2017,6,2,3272019,422090,5815595,0.0726,,,Massachusetts
260,2017,6,2,1421505,183374,5037634,0.0364,,,Missouri
261,2017,6,2,122821,15844,613251,0.0258,,,North Dakota
262,2017,6,2,1265686,163274,3468412,0.0471,,,Oregon
263,2017,6,2,1182430,152533,5545920,0.0275,,,Tennessee
264,2017,6,2,5012995,646676,22572383,0.0286,,,Texas
265,2017,6,2,2302976,297084,7015247,0.0423,,,Virginia
266,2017,6,2,1296188,167208,4805415,0.0348,,,Wisconsin
267,2017,6,3,1628971,73304,593378,0.1235,,,Alaska
268,2017,6,3,4874538,219354,2455022,0.0893,,,Arkansas
269,2017,6,3,12475707,561407,4634346,0.1211,,,Colorado
270,2017,6,3,5953145,267892,3015481,0.0888,,,Connecticut
271,2017,6,3,36521145,1643452,17722275,0.0927,,,Florida
272,2017,6,3,27967981,1258559,10556100,0.1192,,,Illinois
273,2017,6,3,4629261,208317,2356231,0.0884,,,Kansas
274,2017,6,3,7170994,322695,3670568,0.0879,,,Kentucky
275,2017,6,3,12701265,571557,5815595,0.0983,,,Massachusetts
276,2017,6,3,12127850,545753,5037634,0.1083,,,Missouri
277,2017,6,3,2263360,101851,613251,0.1661,,,North Dakota
278,2017,6,3,8916745,401254,3468412,0.1157,,,Oregon
279,2017,6,3,12405488,558247,5545920,0.1007,,,Tennessee
280,2017,6,3,62431460,2809416,22572383,0.1245,,,Texas
281,2017,6,3,15082202,678699,7015247,0.0967,,,Virginia
282,2017,7,1,149097,61279,593378,0.1033,,,Alaska
283,2017,7,1,385670,158511,2455022,0.0646,,,Arkansas
284,2017,7,1,933813,383797,4634346,0.0828,,,Colorado
285,2017,7,1,573968,235901,3015481,0.0782,,,Connecticut
286,2017,7,1,2717018,1116694,17722275,0.063,,,Florida
287,2017,7,1,1244927,511665,10556100,0.0485,,,Illinois
288,2017,7,1,454458,186782,2356231,0.0793,,,Kansas
289,2017,7,1,689831,283521,3670568,0.0772,,,Kentucky
290,2017,7,1,637038,261823,3807282,0.0688,,,Louisiana
291,2017,7,1,835468,343377,5815595,0.059000000000000004,,,Massachusetts
292,2017,7,1,884627,363582,5037634,0.0722,,,Missouri
293,2017,7,1,154796,63621,613251,0.1037,,,North Dakota
294,2017,7,1,1049460,431328,5545920,0.0778,,,Tennessee
295,2017,7,1,3356248,1379418,22572383,0.0611,,,Texas
296,2017,7,1,950169,390519,7015247,0.0557,,,Virginia
297,2017,7,1,1540551,633166,4805415,0.1318,,,Wisconsin
298,2017,7,2,213686,27565,593378,0.0465,,,Alaska
299,2017,7,2,365591,47161,2455022,0.0192,,,Arkansas
300,2017,7,2,1336047,172350,4634346,0.0372,,,Colorado
301,2017,7,2,1103936,142408,3015481,0.0472,,,Connecticut
302,2017,7,2,4699499,606235,17722275,0.0342,,,Florida
303,2017,7,2,2429733,313436,10556100,0.0297,,,Illinois
304,2017,7,2,540076,69670,3670568,0.019,,,Kentucky
305,2017,7,2,663628,85608,3807282,0.0225,,,Louisiana
306,2017,7,2,1846016,238136,5815595,0.0409,,,Massachusetts
307,2017,7,2,1020401,131632,5037634,0.0261,,,Missouri
308,2017,7,2,108529,14000,613251,0.0228,,,North Dakota
309,2017,7,2,1492711,192560,3468412,0.0555,,,Oregon
310,2017,7,2,1135150,146434,5545920,0.0264,,,Tennessee
311,2017,7,2,5106893,658789,22572383,0.0292,,,Texas
312,2017,7,2,2015054,259942,7015247,0.0371,,,Virginia
313,2017,7,2,1352751,174505,4805415,0.0363,,,Wisconsin
314,2017,7,3,1408319,63374,593378,0.1068,,,Alaska
315,2017,7,3,4875683,219406,2455022,0.0894,,,Arkansas
316,2017,7,3,10347649,465644,4634346,0.1005,,,Colorado
317,2017,7,3,4955283,222988,3015481,0.0739,,,Connecticut
318,2017,7,3,32388125,1457466,17722275,0.0822,,,Florida
319,2017,7,3,21395931,962817,10556100,0.0912,,,Illinois
320,2017,7,3,5711567,257021,2356231,0.1091,,,Kansas
321,2017,7,3,7756200,349029,3670568,0.0951,,,Kentucky
322,2017,7,3,10822605,487017,5815595,0.0837,,,Massachusetts
323,2017,7,3,11000501,495023,5037634,0.0983,,,Missouri
324,2017,7,3,1857034,83567,613251,0.1363,,,North Dakota
325,2017,7,3,9756756,439054,3468412,0.1266,,,Oregon
326,2017,7,3,11962115,538295,5545920,0.0971,,,Tennessee
327,2017,7,3,60231134,2710401,22572383,0.1201,,,Texas
328,2017,7,3,12634970,568574,7015247,0.081,,,Virginia
329,2017,8,1,177645,73012,593378,0.12300000000000001,,,Alaska
330,2017,8,1,283947,116702,2455022,0.0475,,,Arkansas
331,2017,8,1,1203259,494539,4634346,0.1067,,,Colorado
332,2017,8,1,537312,220835,3015481,0.0732,,,Connecticut
333,2017,8,1,3392719,1394408,17722275,0.0787,,,Florida
334,2017,8,1,1832047,752971,10556100,0.0713,,,Illinois
335,2017,8,1,295245,121346,2356231,0.0515,,,Kansas
336,2017,8,1,539733,221830,3670568,0.0604,,,Kentucky
337,2017,8,1,736047,302515,3807282,0.0795,,,Louisiana
338,2017,8,1,1078534,443277,5815595,0.0762,,,Massachusetts
339,2017,8,1,1018085,418433,5037634,0.0831,,,Missouri
340,2017,8,1,167706,68927,613251,0.1124,,,North Dakota
341,2017,8,1,750251,308353,5545920,0.0556,,,Tennessee
342,2017,8,1,3143703,1292062,22572383,0.0572,,,Texas
343,2017,8,1,940152,386402,7015247,0.0551,,,Virginia
344,2017,8,1,948807,389960,4805415,0.0812,,,Wisconsin
345,2017,8,2,248580,32067,593378,0.054000000000000006,,,Alaska
346,2017,8,2,314719,40599,2455022,0.0165,,,Arkansas
347,2017,8,2,1693905,218514,4634346,0.0472,,,Colorado
348,2017,8,2,1069234,137931,3015481,0.0457,,,Connecticut
349,2017,8,2,6201543,799999,17722275,0.0451,,,Florida
350,2017,8,2,3379674,435978,10556100,0.0413,,,Illinois
351,2017,8,2,420672,54267,3670568,0.0148,,,Kentucky
352,2017,8,2,866973,111839,3807282,0.0294,,,Louisiana
353,2017,8,2,2339265,301765,5815595,0.0519,,,Massachusetts
354,2017,8,2,1231511,158865,5037634,0.0315,,,Missouri
355,2017,8,2,131476,16960,613251,0.0277,,,North Dakota
356,2017,8,2,1148434,148148,3468412,0.0427,,,Oregon
357,2017,8,2,962000,124098,5545920,0.0224,,,Tennessee
358,2017,8,2,5011892,646534,22572383,0.0286,,,Texas
359,2017,8,2,2320357,299326,7015247,0.0427,,,Virginia
360,2017,8,2,1077684,139021,4805415,0.0289,,,Wisconsin
361,2017,8,3,1636509,73643,593378,0.1241,,,Alaska
362,2017,8,3,4447283,200128,2455022,0.0815,,,Arkansas
363,2017,8,3,11954718,537962,4634346,0.1161,,,Colorado
364,2017,8,3,5690025,256051,3015481,0.0849,,,Connecticut
365,2017,8,3,38064476,1712901,17722275,0.0967,,,Florida
366,2017,8,3,26691702,1201127,10556100,0.1138,,,Illinois
367,2017,8,3,4705106,211730,2356231,0.0899,,,Kansas
368,2017,8,3,6334416,285049,3670568,0.0777,,,Kentucky
369,2017,8,3,12373486,556807,5815595,0.0957,,,Massachusetts
370,2017,8,3,12132018,545941,5037634,0.1084,,,Missouri
371,2017,8,3,1911782,86030,613251,0.1403,,,North Dakota
372,2017,8,3,9299906,418496,3468412,0.1207,,,Oregon
373,2017,8,3,10658453,479630,5545920,0.0865,,,Tennessee
374,2017,8,3,49822001,2241990,22572383,0.0993,,,Texas
375,2017,8,3,14616829,657757,7015247,0.0938,,,Virginia
376,2017,9,1,144068,59212,593378,0.0998,,,Alaska
377,2017,9,1,368364,151398,2455022,0.0617,,,Arkansas
378,2017,9,1,1055056,433628,4634346,0.0936,,,Colorado
379,2017,9,1,542801,223091,3015481,0.07400000000000001,,,Connecticut
380,2017,9,1,2806073,1153296,17722275,0.0651,,,Florida
381,2017,9,1,1621165,666299,10556100,0.0631,,,Illinois
382,2017,9,1,389175,159951,2356231,0.0679,,,Kansas
383,2017,9,1,615577,253002,3670568,0.0689,,,Kentucky
384,2017,9,1,689261,283286,3807282,0.0744,,,Louisiana
385,2017,9,1,1162718,477877,5815595,0.0822,,,Massachusetts
386,2017,9,1,1199883,493152,5037634,0.0979,,,Missouri
387,2017,9,1,152656,62741,613251,0.1023,,,North Dakota
388,2017,9,1,937374,385261,5545920,0.0695,,,Tennessee
389,2017,9,1,2683240,1102812,22572383,0.0489,,,Texas
390,2017,9,1,946518,389019,7015247,0.0555,,,Virginia
391,2017,9,1,1201939,493997,4805415,0.1028,,,Wisconsin
392,2017,9,2,199086,25682,593378,0.0433,,,Alaska
393,2017,9,2,339144,43750,2455022,0.0178,,,Arkansas
394,2017,9,2,1364559,176028,4634346,0.038,,,Colorado
395,2017,9,2,1064791,137358,3015481,0.0456,,,Connecticut
396,2017,9,2,4695913,605773,17722275,0.0342,,,Florida
397,2017,9,2,2690818,347116,10556100,0.0329,,,Illinois
398,2017,9,2,529020,68244,3670568,0.0186,,,Kentucky
399,2017,9,2,732222,94457,3807282,0.0248,,,Louisiana
400,2017,9,2,2608738,336527,5815595,0.0579,,,Massachusetts
401,2017,9,2,1365719,176178,5037634,0.035,,,Missouri
402,2017,9,2,97187,12537,613251,0.0204,,,North Dakota
403,2017,9,2,1498873,193355,3468412,0.0557,,,Oregon
404,2017,9,2,1055639,136177,5545920,0.0246,,,Tennessee
405,2017,9,2,4750968,612875,22572383,0.0272,,,Texas
406,2017,9,2,2072836,267396,7015247,0.0381,,,Virginia
407,2017,9,2,1326400,171106,4805415,0.0356,,,Wisconsin
408,2017,9,3,1083370,48752,593378,0.0822,,,Alaska
409,2017,9,3,4842596,217917,2455022,0.0888,,,Arkansas
410,2017,9,3,9942861,447429,4634346,0.0965,,,Colorado
411,2017,9,3,4704961,211723,3015481,0.0702,,,Connecticut
412,2017,9,3,32493045,1462187,17722275,0.0825,,,Florida
413,2017,9,3,21419855,963893,10556100,0.0913,,,Illinois
414,2017,9,3,5425750,244159,2356231,0.1036,,,Kansas
415,2017,9,3,7976064,358923,3670568,0.0978,,,Kentucky
416,2017,9,3,9909433,445924,5815595,0.0767,,,Massachusetts
417,2017,9,3,10420535,468924,5037634,0.0931,,,Missouri
418,2017,9,3,1513268,68097,613251,0.111,,,North Dakota
419,2017,9,3,9788965,440503,3468412,0.127,,,Oregon
420,2017,9,3,11445348,515041,5545920,0.0929,,,Tennessee
421,2017,9,3,56817453,2556785,22572383,0.1133,,,Texas
422,2017,9,3,12453806,560421,7015247,0.0799,,,Virginia
423,2017,10,1,133326,54797,593378,0.0923,,,Alaska
424,2017,10,1,304389,125104,2455022,0.051,,,Arkansas
425,2017,10,1,1061033,436085,4634346,0.0941,,,Colorado
426,2017,10,1,781879,321352,3015481,0.1066,,,Connecticut
427,2017,10,1,4000117,1644048,17722275,0.0928,,,Florida
428,2017,10,1,1895586,779086,10556100,0.0738,,,Illinois
429,2017,10,1,342127,140614,2356231,0.0597,,,Kansas
430,2017,10,1,593322,243856,3670568,0.0664,,,Kentucky
431,2017,10,1,827692,340181,3807282,0.0894,,,Louisiana
432,2017,10,1,1092277,448926,5815595,0.0772,,,Massachusetts
